iter	Passed	Remaining
700	2638	1125
701	2641	1121
702	2644	1117
703	2646	1112
704	2649	1108
705	2652	1104
706	2654	1100
707	2657	1095
708	2659	1091
709	2662	1087
710	2665	1083
711	2667	1078
712	2669	1074
713	2672	1070
714	2674	1066
715	2678	1062
716	2680	1058
717	2682	1053
718	2685	1049
719	2687	1045
720	2690	1040
721	2693	1037
722	2695	1032
723	2698	1028
724	2700	1024
725	2703	1020
726	2706	1016
727	2708	1011
728	2711	1007
729	2713	1003
730	2715	999
731	2719	995
732	2723	992
733	2728	988
734	2732	985
735	2735	981
736	2737	976
737	2739	972
738	2742	968
739	2745	964
740	2748	960
741	2752	957
742	2755	952
743	2757	948
744	2760	944
745	2762	940
746	2764	936
747	2767	932
748	2769	928
749	2772	924
750	2775	920
751	2777	916
752	2779	911
753	2782	907
754	2785	904
755	2790	900
756	2792	896
757	2795	892
758	2797	888
759	2800	884
760	2802	880
761	2805	876
762	2808	872
763	2812	868
764	2815	864
765	2817	860
766	2820	856
767	2822	852
768	2826	848
769	2828	844
770	2830	840
771	2833	836
772	2835	832
773	2838	828
774	2840	824
775	2843	820
776	2845	816
777	2848	812
778	2850	808
779	2853	804
780	2855	800
781	2857	796
782	2861	793
783	2863	789
784	2866	784
785	2870	781
786	2872	777
787	2874	773
788	2877	769
789	2879	765
790	2881	761
791	2884	757
792	2887	753
793	2890	749
794	2892	745
795	2895	741
796	2897	738
797	2901	734
798	2904	730
799	2907	726
800	2909	722
801	2911	718
802	2914	715
803	2916	711
804	2919	707
805	2922	703
806	2924	699
807	2926	695
808	2931	692
809	2934	688
810	2936	684
811	2939	680
812	2941	676
813	2945	672
814	2948	669
815	2950	665
816	2952	661
817	2955	657
818	2957	653
819	2960	649
820	2962	646
821	2965	642
822	2967	638
823	2970	634
824	2972	630
825	2975	626
826	2978	623
827	2980	619
828	2983	615
829	2985	611
830	2988	607
831	2991	603
832	2993	600
833	2996	596
834	2999	592
835	3002	588
836	3004	585
837	3006	581
838	3009	577
839	3012	573
840	3014	569
841	3016	566
842	3019	562
843	3021	558
844	3024	554
845	3026	550
846	3028	547
847	3030	543
848	3033	539
849	3035	535
850	3037	531
851	3041	528
852	3043	524
853	3048	521
854	3050	517
855	3052	513
856	3055	509
857	3058	506
858	3060	502
859	3062	498
860	3065	494
861	3067	491
862	3070	487
863	3072	483
864	3075	480
865	3079	476
866	3081	472
867	3083	468
868	3086	465
869	3089	461
870	3091	457
871	3093	454
872	3096	450
873	3099	446
874	3101	443
875	3105	439
876	3108	435
877	3110	432
878	3112	428
879	3115	424
880	3117	421
881	3122	417
882	3124	414
883	3127	410
884	3129	406
885	3131	402
886	3134	399
887	3137	395
888	3139	391
889	3141	388
890	3144	384
891	3146	380
892	3148	377
893	3151	373
894	3154	370
895	3157	366
896	3159	362
897	3162	359
898	3165	355
899	3168	352
900	3170	348
901	3172	344
902	3175	341
903	3177	337
904	3180	333
905	3183	330
906	3185	326
907	3188	323
908	3190	319
909	3192	315
910	3195	312
911	3198	308
912	3200	304
913	3202	301
914	3205	297
915	3207	294
916	3210	290
917	3213	287
918	3215	283
919	3218	279
920	3220	276
921	3224	272
922	3227	269
923	3232	265
924	3234	262
925	3236	258
926	3239	255
927	3241	251
928	3244	247
929	3247	244
930	3249	240
931	3252	237
932	3254	233
933	3256	230
934	3259	226
935	3262	223
936	3265	219
937	3267	215
938	3269	212
939	3272	208
940	3274	205
941	3278	201
942	3282	198
943	3285	194
944	3288	191
945	3290	187
946	3295	184
947	3299	180
948	3303	177
949	3306	174
950	3314	170
951	3317	167
952	3320	163
953	3322	160
954	3327	156
955	3332	153
956	3336	149
957	3342	146
958	3347	143
959	3352	139
960	3362	136
961	3367	133
962	3373	129
963	3379	126
964	3385	122
965	3412	120
966	3418	116
967	3425	113
968	3430	109
969	3434	106
970	3445	102
971	3455	99
972	3463	96
973	3476	92
974	3481	89
975	3487	85
976	3492	82
977	3497	78
978	3503	75
979	3510	71
980	3515	68
981	3521	64
982	3529	61
983	3535	57
984	3541	53
985	3548	50
986	3554	46
987	3559	43
988	3565	39
989	3570	36
990	3577	32
991	3582	28
992	3587	25
993	3591	21
994	3596	18
995	3601	14
996	3606	10
997	3613	7
998	3617	3
999	3622	0
